Ref No,Calibre,Projectile Type,Projectile Dimension,dai,projectile mass,total mass with sabbot,Petal burst pressure,powder mass,Actual Velocity,expected velocity,Shape,s_type,Breadth,Height,Material,c_drag,Surface Area,Volume,SA/vol,Density,Moment of inerta,cd,sabo length
1,40 mm,B,10.78,10.78,13.56,15.76,60.59,3.45,1145.09,1169.53,spherical,type1,12.03,13.12,tungsten,0.809,365.079,655.926,0.557,19300,0.1521,0.107,51.22
2,29 mm,A,11.17,11.17,9.91,11.32,31.97,5.24,1428.05,1397.5,cylindrical,type1,3.2,10.37,aluminum,0.752,391.973,729.723,0.537,2700,0.399,0.543,78.74
3,40 mm,C,16.82,16.82,15.72,18.38,32.99,2.73,972.56,1033.14,spherical,type3,3.13,8.82,steel,0.286,888.796,2491.59,0.357,7800,0.2118,0.249,59.27
4,29 mm,C,5.54,5.54,11.24,12.07,40.29,2.8,1092.93,1077.01,spherical,type3,6.68,11.9,brass,0.672,96.421,89.028,1.083,8500,0.4148,0.791,24.99
5,40 mm,C,10.51,10.51,10.61,12.45,26.41,3.11,1180.36,1135.22,spherical,type3,9.56,12.67,aluminum,0.365,347.021,607.864,0.571,2700,0.2387,0.43,30.75
6,40 mm,C,9.54,9.54,19.59,21.37,22.01,5.56,1333.72,1348.82,spherical,type3,3.49,4.09,brass,0.671,285.921,454.615,0.629,8500,0.3307,0.674,46.2
7,29 mm,C,7.06,7.06,8.06,10.4,39.52,5.97,1521.42,1533.07,cylindrical,type3,12.82,5.45,aluminum,0.153,156.588,184.252,0.85,2700,0.0532,0.182,69.78
8,40 mm,C,17.72,17.72,2.92,4.7,81.15,4.89,1448.91,1410.67,ogive,type3,14.66,,steel,0.433,986.455,2913.331,0.339,7800,0.3344,0.388,54.54
9,29 mm,E,17.06,17.06,9.51,11.18,40.83,2.28,996.71,1013.18,conical,type1,5.71,8.65,tungsten,0.738,914.34,2599.775,0.352,19300,0.4982,0.736,35.15
10,40 mm,C,6.35,6.35,19.89,22.03,57.9,2.25,887.18,864.15,cylindrical,type1,12.11,5.83,steel,0.828,126.677,134.066,0.945,7800,0.021,0.246,20.25
11,40 mm,C,9.75,9.75,3.03,4.72,114.08,2.82,1110.21,1074.92,ogive,type1,4.95,,steel,0.123,298.648,485.302,0.615,7800,0.2957,0.557,25.24
12,29 mm,C,18.46,18.46,9.61,10.43,94.35,2.73,1037.4,1063.63,ogive,type2,9.68,13.11,tungsten,0.708,1070.566,3293.773,0.325,19300,0.0655,0.56,31.19
13,40 mm,D,18.48,18.48,7.54,9.09,56.16,5.07,1393.11,1361.71,ogive,type2,4.17,14.57,steel,0.778,1072.887,3304.491,0.325,7800,0.039,0.817,22.57
14,40 mm,E,11.1,11.1,5.01,7.4,61.26,5.84,1474.75,1504.6,cylindrical,type2,3.29,4.82,aluminum,0.523,387.076,716.09,0.541,2700,0.4034,0.28,59.48
15,29 mm,B,15.15,15.15,13.07,14.38,77.99,5.78,1555.95,1490.61,conical,type3,7.23,,steel,0.794,721.066,1820.692,0.396,7800,0.0299,0.737,46.76
16,40 mm,D,7.35,7.35,12.25,14.43,101.54,3.77,1217.52,1148.94,ogive,type2,10.59,8.48,tungsten,0.78,169.717,207.903,0.816,19300,0.0889,0.159,43.49
17,29 mm,B,16.07,16.07,2.72,4.15,36.37,2.75,1165.15,1129.81,ogive,type3,,,brass,0.323,811.3,2172.933,0.373,8500,0.4526,0.439,41.83
