Model,R2,MSE,RMSE,MAE
Linear Regression,0.945683333812618,2523.125895936563,50.230726611672296,40.92669247484476
Ridge,0.9456049104945702,2526.768827627716,50.26697551701033,40.95609361681127
Lasso,0.9456101988275178,2526.5231731952354,50.26453196037177,41.20043605868512
ElasticNet,0.88253482815163,5456.509719112904,73.8681915245859,61.59114657641904
Huber,-0.057768776729213656,49135.63331135767,221.6655889202419,180.92435259517046
Bayesian Ridge,0.9455398777872611,2529.789736667462,50.29701518646471,40.987029154329505
Polynomial Regression,0.9263488148611178,3421.2558600200223,58.49150245993022,46.45051522307731
SVR,-0.00011641698289777125,46457.55727966682,215.5401523606839,185.53541952677742
KNN,-0.1049688282252823,51328.177158000006,226.55722711491683,190.1765
Decision Tree,0.8912477938553245,5051.773733999999,71.07583087097892,58.365399999999994
Random Forest,0.9386004356672061,2852.141739201285,53.40544671848823,43.67838074999998
Extra Trees,0.9413026902615994,2726.6162049019954,52.21701068523547,41.71241899999993
Gradient Boosting,0.936992000359532,2926.8570165110314,54.10043453162859,43.786758911210015
AdaBoost,0.9336353121858857,3082.782397245806,55.52280970237192,46.040485536006145
MLP Regressor,0.20245590831970983,37047.637348133365,192.4776281756749,162.8251252249465
XGBoost,0.9244920420794349,3507.506946789086,59.224209127594825,47.695062634277335
LightGBM,0.9382382287962012,2868.9670269088515,53.56273916547632,42.722098991671416
