Model,R2,MSE,RMSE,MAE
Linear Regression,0.9434630720437899,0.09765991494069075,0.3125058638500896,0.2542628549686533
Ridge,0.9434564923324839,0.09767128050422084,0.31252404788147237,0.25423360249848925
Lasso,0.9222631876213284,0.13427985493908703,0.366442157698984,0.3038377556750797
ElasticNet,0.9388664156285097,0.10560001870571206,0.32496156496686196,0.2682001181098946
Huber,0.868661407755927,0.22686969757042394,0.4763084059413858,0.39916310881169875
Bayesian Ridge,0.943816678789851,0.09704910699637649,0.3115270566040396,0.2535738575087361
Polynomial Regression,0.9253586492924133,0.12893286254971514,0.3590722246982007,0.28592728363523995
SVR,0.36264613900184783,1.1009428014979974,1.049258214882303,0.9038475768274052
KNN,0.848328565042441,0.26199194000000003,0.5118514823657347,0.41109000000000007
Decision Tree,0.882977256728753,0.20214100000000002,0.4496009341627306,0.35400000000000004
Random Forest,0.9390200898483777,0.10533456722500009,0.324552872772681,0.25657149999999995
Extra Trees,0.9444428396463284,0.09596749859999995,0.309786214347895,0.24095999999999992
Gradient Boosting,0.9370542215885522,0.10873033940398823,0.32974283829067197,0.2609530542344355
AdaBoost,0.9291877245002272,0.12231865175661634,0.34974083512883697,0.28688755924855464
MLP Regressor,-7.374190294545484,14.465283867137309,3.803325369612401,2.853822517501156
XGBoost,0.9298713120368616,0.12113784651841997,0.34804862665785646,0.2783907986402512
LightGBM,0.9353687514772054,0.11164176161349885,0.3341283609834682,0.2602354306858212
